player_name,game_id,player_current_club,tournament,gameday,venue_country,venue_city,venue,date,team,opponent,result,player_position,goals,assists_amount,own_goals_amount,substitute_in,substitute_out,yellow_card,yellow_red_card,red_card,minutes_played
Lionel Messi,1059978,FC Barcelona,Freundschaftsspiele,,Ungarn,Budapest,A,2005-08-17,Argentinien,Ungarn,2:1,HS,0,0,0,64',,,,65',1'
Lionel Messi,2373422,FC Barcelona,WM-Qualifikation Südamerika,Gruppe A,Paraguay,Asunción,A,2005-09-03,Argentinien,Paraguay,0:1,HS,0,0,0,80',,,,,10'
Lionel Messi,2373430,FC Barcelona,WM-Qualifikation Südamerika,Gruppe A,Argentinien,Buenos Aires,H,2005-10-09,Argentinien,Peru,2:0,HS,0,1,0,,,,,,90'
Lionel Messi,2373435,FC Barcelona,WM-Qualifikation Südamerika,Gruppe A,Uruguay,Montevideo,A,2005-10-13,Argentinien,Uruguay,0:1,RM,0,0,0,65',,,,,25'
Lionel Messi,1059980,FC Barcelona,Freundschaftsspiele,,Katar,Doha,A,2005-11-16,Argentinien,Katar,3:0,HS,0,1,0,,81',,,,81'
Lionel Messi,1059981,FC Barcelona,Freundschaftsspiele,,Schweiz,Basel,A,2006-03-01,Argentinien,Kroatien,2:3,RM,1,1,0,,,,,,90'
Lionel Messi,1059982,FC Barcelona,Freundschaftsspiele,,Italien,Salerno,H,2006-05-29,Argentinien,Angola,2:0,OM,0,0,0,68',,,,,22'
Lionel Messi,1126204,FC Barcelona,Weltmeisterschaft,Gruppe C,Deutschland,Gelsenkirchen,H,2006-06-16,Argentinien,Serbien und Montenegro,6:0,RM,1,1,0,74',,,,,16'
Lionel Messi,49340,FC Barcelona,Weltmeisterschaft,Gruppe C,Deutschland,Frankfurt (Main),A,2006-06-21,Argentinien,Niederlande,0:0,HS,0,0,0,,70',,,,70'
Lionel Messi,53478,FC Barcelona,Weltmeisterschaft,Achtelfinale,Deutschland,Leipzig,H,2006-06-24,Argentinien,Mexiko,2:1 n.V.,HS,0,0,0,84',,,,,36'
Lionel Messi,1059972,FC Barcelona,Freundschaftsspiele,,England,London,A,2006-09-02,Argentinien,Brasilien,0:3,MS,0,0,0,,,,,,90'
Lionel Messi,1059973,FC Barcelona,Freundschaftsspiele,,Spanien,Murcia,A,2006-10-11,Argentinien,Spanien,1:2,HS,0,0,0,,61',,,,61'
Lionel Messi,1059976,FC Barcelona,Freundschaftsspiele,,Schweiz,Basel,A,2007-06-02,Argentinien,Schweiz,1:1,RA,0,1,0,,87',,,,87'
Lionel Messi,1059977,FC Barcelona,Freundschaftsspiele,,Spanien,Barcelona,A,2007-06-05,Argentinien,Algerien,4:3,RA,2,0,0,,,,,,90'
Lionel Messi,1021914,FC Barcelona,Copa América,Gruppe 3,Venezuela,Maracaibo,H,2007-06-29,Argentinien,Vereinigte Staaten,4:1,HS,0,1,0,,80',,,,80'
Lionel Messi,1021935,FC Barcelona,Copa América,Gruppe 3,Venezuela,Maracaibo,H,2007-07-03,Argentinien,Kolumbien,4:2,HS,0,0,0,,84',,,,84'
Lionel Messi,1021956,FC Barcelona,Copa América,Gruppe 3,Venezuela,Barquisimeto,H,2007-07-06,Argentinien,Paraguay,1:0,OM,0,0,0,67',,,,,23'
Lionel Messi,1021970,FC Barcelona,Copa América,Viertelfinale,Venezuela,Barquisimeto,H,2007-07-09,Argentinien,Peru,4:0,HS,1,0,0,,,,,,90'
