game_id,player_current_club,tournament,gameday,venue_country,venue_city,venue,date,team,opponent,result,player_position,goal_amount,assists_amount,own_goals_amount,yellow_card,yellow_red_card,red_card
86190,Manchester United,EM-Qualifikation,Gruppe A,Kasachstan,Almaty,A,2007-10-17,Portugal,Kasachstan,2:1,RA,1,0,0,,,
87017,Manchester United,EM-Qualifikation,Gruppe A,Portugal,Leiria,H,2007-11-17,Portugal,Armenien,1:0,RA,0,0,0,,,
87037,Manchester United,EM-Qualifikation,Gruppe A,Portugal,Porto,H,2007-11-21,Portugal,Finnland,0:0,RA,0,0,0,,,
2371498,Manchester United,Freundschaftsspiele,,Schweiz,Zürich,A,2008-02-06,Portugal,Italien,1:3,LA,0,0,0,,,
4513556,Manchester United,Freundschaftsspiele,,Portugal,Viseu,H,2008-05-31,Portugal,Georgien,2:0,RA,0,0,0,,,
88030,Manchester United,Europameisterschaft 2008,Gruppe A,Schweiz,Carouge,H,2008-06-07,Portugal,Türkei,2:0,RA,0,0,0,,,
88037,Manchester United,Europameisterschaft 2008,Gruppe A,Schweiz,Carouge,A,2008-06-11,Portugal,Tschechien,3:1,LA,1,1,0,,,
910142,Manchester United,Europameisterschaft 2008,Viertelfinale,Schweiz,Basel,H,2008-06-19,Portugal,Deutschland,2:3,LA,0,0,0,,,
926622,Manchester United,WM-Qualifikation Europa,Gruppe A,Schweden,"Solna, Stockholm",A,2008-10-11,Portugal,Schweden,0:0,RA,0,0,0,,,
926645,Manchester United,WM-Qualifikation Europa,Gruppe A,Portugal,Braga,H,2008-10-15,Portugal,Albanien,0:0,RA,0,0,0,,,
930144,Manchester United,Freundschaftsspiele,,Brasilien,Gama,A,2008-11-19,Portugal,Brasilien,2:6,MS,0,0,0,85',,
934865,Manchester United,Freundschaftsspiele,,Portugal,Faro,H,2009-02-11,Portugal,Finnland,1:0,RA,1,0,0,,,
940687,Manchester United,WM-Qualifikation Europa,Gruppe A,Portugal,Porto,H,2009-03-28,Portugal,Schweden,0:0,RA,0,0,0,,,
942558,Manchester United,Freundschaftsspiele,,Schweiz,Lausanne,A,2009-03-31,Portugal,Südafrika,2:0,RA,0,0,0,,,
942596,Manchester United,WM-Qualifikation Europa,Gruppe A,Albanien,Tirana,A,2009-06-06,Portugal,Albanien,2:1,RA,0,0,0,,,
972333,Real Madrid,WM-Qualifikation Europa,Gruppe A,Dänemark,København Ø.,A,2009-09-05,Portugal,Dänemark,1:1,MS,0,0,0,,,
972337,Real Madrid,WM-Qualifikation Europa,Gruppe A,Ungarn,Budapest,A,2009-09-09,Portugal,Ungarn,1:0,MS,0,0,0,,,
976693,Real Madrid,WM-Qualifikation Europa,Gruppe A,Portugal,Lissabon,H,2009-10-10,Portugal,Ungarn,3:0,LA,0,1,0,,,
1021172,Real Madrid,Freundschaftsspiele,,Portugal,,H,2010-05-24,Portugal,Kap Verde,0:0,RA,0,0,0,64',,
1023390,Real Madrid,Freundschaftsspiele,,Portugal,,H,2010-06-01,Portugal,Kamerun,3:1,RA,0,1,0,,,
1023764,Real Madrid,Freundschaftsspiele,,Südafrika,Johannesburg,A,2010-06-08,Portugal,Mosambik,3:0,LA,0,0,0,,,
986791,Real Madrid,Weltmeisterschaft 2010,Gruppe G,Südafrika,,A,2010-06-15,Portugal,Elfenbeinküste,0:0,RA,0,0,0,21',,
986806,Real Madrid,Weltmeisterschaft 2010,Gruppe G,Südafrika,Kapstadt,H,2010-06-21,Portugal,Nordkorea,7:0,LA,1,1,0,,,
986819,Real Madrid,Weltmeisterschaft 2010,Gruppe G,Südafrika,Durban,H,2010-06-25,Portugal,Brasilien,0:0,MS,0,0,0,,,
1027636,Real Madrid,Weltmeisterschaft 2010,Achtelfinale,Südafrika,Kapstadt,A,2010-06-29,Portugal,Spanien,0:1,LA,0,0,0,,,
1057736,Real Madrid,EM-Qualifikation,Gruppe H,Portugal,Porto,H,2010-10-08,Portugal,Dänemark,3:1,LA,1,1,0,,,
1058097,Real Madrid,EM-Qualifikation,Gruppe H,Island,Reykjavík,A,2010-10-12,Portugal,Island,3:1,LA,1,0,0,,,
