player_name,game_id,saison,league,gameday,venue,team,team_table_position,opponent,opponent_table_position,result,player_position,goal_minute,goal_score,goal_type,goal_added_time,added_time
Lionel Messi,920362,2008,LaLiga,3,A,FC Barcelona,17,Sporting Gijón,20,6:1,RA,89,1:6,Kopfball,0,0
Lionel Messi,920381,2008,LaLiga,5,A,FC Barcelona,6,Espanyol Barcelona,8,2:1,RA,90,1:2,Elfmeter,0,0
Lionel Messi,923861,2008,UEFA Champions League,Gruppenphase,A,FC Barcelona,,Shakhtar Donetsk,,2:1,RA,87,1:1,Rechtsschuss,0,0
Lionel Messi,923861,2008,UEFA Champions League,Gruppenphase,A,FC Barcelona,,Shakhtar Donetsk,,2:1,RA,90,1:2,Linksschuss,0,2
Lionel Messi,920391,2008,LaLiga,6,H,FC Barcelona,5,Atlético Madrid,7,6:1,RA,8,3:0,Direkter Freistoß,0,0
Lionel Messi,923876,2008,UEFA Champions League,Gruppenphase,A,FC Barcelona,,FC Basel 1893,,5:0,MS,4,0:1,Linksschuss,0,0
Lionel Messi,920419,2008,LaLiga,9,A,FC Barcelona,2,FC Málaga,6,4:1,RA,19,1:2,Linksschuss,0,0
Lionel Messi,923884,2008,UEFA Champions League,Gruppenphase,H,FC Barcelona,,FC Basel 1893,,1:1,RA,61,1:0,Linksschuss,0,0
Lionel Messi,926975,2008,Copa del Rey,4.Runde,H,FC Barcelona,,Benidorm CD,,1:0,RA,86,1:0,Elfmeternachschuss,0,0
Lionel Messi,920438,2008,LaLiga,11,A,FC Barcelona,1,Recreativo Huelva,17,2:0,RA,51,0:1,Linksschuss,0,0
Lionel Messi,923908,2008,UEFA Champions League,Gruppenphase,A,FC Barcelona,,Sporting Lissabon,,5:2,RA,49,0:3,Linksschuss,0,0
Lionel Messi,920457,2008,LaLiga,13,A,FC Barcelona,1,FC Sevilla,5,3:0,RA,78,0:2,Linksschuss,0,0
Lionel Messi,920457,2008,LaLiga,13,A,FC Barcelona,1,FC Sevilla,5,3:0,RA,90,0:3,Linksschuss,0,2
Lionel Messi,920477,2008,LaLiga,15,H,FC Barcelona,1,Real Madrid,5,2:0,RA,89,2:0,Kontertor,0,0
Lionel Messi,931759,2008,Copa del Rey,Achtelfinale,A,FC Barcelona,,Atlético Madrid,,3:1,RA,11,0:1,Linksschuss,0,0
Lionel Messi,931759,2008,Copa del Rey,Achtelfinale,A,FC Barcelona,,Atlético Madrid,,3:1,RA,57,0:2,Elfmeter,0,0
Lionel Messi,931759,2008,Copa del Rey,Achtelfinale,A,FC Barcelona,,Atlético Madrid,,3:1,RA,79,1:3,Rechtsschuss,0,0
Lionel Messi,920509,2008,LaLiga,18,A,FC Barcelona,1,CA Osasuna,20,3:2,RA,84,2:3,Linksschuss,0,0
Lionel Messi,920519,2008,LaLiga,19,H,FC Barcelona,1,Deportivo La Coruna ,7,5:0,RA,21,1:0,Linksschuss,0,0
Lionel Messi,920533,2008,LaLiga,20,H,FC Barcelona,1,CD Numancia ,17,4:1,RA,49,1:0,Linksschuss,0,0
Lionel Messi,920533,2008,LaLiga,20,H,FC Barcelona,1,CD Numancia ,17,4:1,RA,76,4:1,Rechtsschuss,0,0
Lionel Messi,920543,2008,LaLiga,21,A,FC Barcelona,1,Racing Santander,9,2:1,RA,65,1:1,Rechtsschuss,0,0
Lionel Messi,920543,2008,LaLiga,21,A,FC Barcelona,1,Racing Santander,9,2:1,RA,81,1:2,Rechtsschuss,0,0
Lionel Messi,920581,2008,LaLiga,25,A,FC Barcelona,1,Atlético Madrid,7,4:3,RA,30,0:2,Linksschuss,0,0
Lionel Messi,935798,2008,Copa del Rey,Halbfinale,A,FC Barcelona,,RCD Mallorca,,1:1,RA,81,1:1,Linksschuss,0,0
Lionel Messi,920590,2008,LaLiga,26,H,FC Barcelona,1,Athletic Bilbao,11,2:0,RA,31,2:0,Elfmeter,0,0
Lionel Messi,933247,2008,UEFA Champions League,Achtelfinale,H,FC Barcelona,,Olympique Lyon,,5:2,RA,40,3:0,Linksschuss,0,0
Lionel Messi,920609,2008,LaLiga,28,H,FC Barcelona,1,FC Málaga,6,6:0,RA,26,2:0,Rechtsschuss,0,0
Lionel Messi,940383,2008,UEFA Champions League,Viertelfinale,H,FC Barcelona,,FC Bayern München,,4:0,RA,9,1:0,Linksschuss,0,0
Lionel Messi,940383,2008,UEFA Champions League,Viertelfinale,H,FC Barcelona,,FC Bayern München,,4:0,RA,38,3:0,Rechtsschuss,0,0
Lionel Messi,920638,2008,LaLiga,31,A,FC Barcelona,1,FC Getafe,14,1:0,RA,18,0:1,Linksschuss,0,0
Lionel Messi,920657,2008,LaLiga,33,A,FC Barcelona,1,FC Valencia,4,2:2,RA,23,0:1,Linksschuss,0,0
Lionel Messi,920667,2008,LaLiga,34,A,FC Barcelona,1,Real Madrid,2,6:2,MS,35,1:3,Linksschuss,0,0
Lionel Messi,920667,2008,LaLiga,34,A,FC Barcelona,1,Real Madrid,2,6:2,MS,75,2:5,Linksschuss,0,0
Lionel Messi,938294,2008,Copa del Rey,Finale,H,FC Barcelona,,Athletic Bilbao,,4:1,RA,55,2:1,Linksschuss,0,0
Lionel Messi,946099,2008,UEFA Champions League,Finale,H,FC Barcelona,,Manchester United,,2:0,RA,70,2:0,Kopfball,0,0
Lionel Messi,949294,2009,Supercopa,Finale,H,FC Barcelona,,Athletic Bilbao,,3:0,RA,50,1:0,Rechtsschuss,0,0
Lionel Messi,949294,2009,Supercopa,Finale,H,FC Barcelona,,Athletic Bilbao,,3:0,RA,68,2:0,Elfmeter,0,0
Lionel Messi,955807,2009,LaLiga,2,A,FC Barcelona,2,FC Getafe,1,2:0,RA,78,0:2,Kopfball,0,0
Lionel Messi,955817,2009,LaLiga,3,H,FC Barcelona,1,Atlético Madrid,17,5:2,RA,15,2:0,Linksschuss,0,0
Lionel Messi,955817,2009,LaLiga,3,H,FC Barcelona,1,Atlético Madrid,17,5:2,RA,90,5:2,Rechtsschuss,0,3
Lionel Messi,955837,2009,LaLiga,4,A,FC Barcelona,2,Racing Santander,10,4:1,RA,23,0:2,Linksschuss,0,0
Lionel Messi,955837,2009,LaLiga,4,A,FC Barcelona,2,Racing Santander,10,4:1,RA,63,0:4,Linksschuss,0,0
Lionel Messi,971650,2009,UEFA Champions League,Gruppenphase,H,FC Barcelona,,Dynamo Kyiv,,2:0,RA,25,1:0,Linksschuss,0,0
Lionel Messi,955892,2009,LaLiga,8,H,FC Barcelona,1,Real Saragossa ,13,6:1,RA,80,5:1,Linksschuss,0,0
Lionel Messi,955906,2009,LaLiga,10,H,FC Barcelona,1,RCD Mallorca,5,4:2,RA,86,4:1,Elfmeter,0,0
Lionel Messi,976432,2009,Copa del Rey,4.Runde,H,FC Barcelona,,Cultural Leonesa,,5:0,RA,64,4:0,Linksschuss,0,0
Lionel Messi,957306,2009,LaLiga,13,A,FC Barcelona,1,Deportivo La Coruna ,5,3:1,RA,26,0:1,Linksschuss,0,0
Lionel Messi,957306,2009,LaLiga,13,A,FC Barcelona,1,Deportivo La Coruna ,5,3:1,RA,80,1:2,Kopfball,0,0
Lionel Messi,971654,2009,UEFA Champions League,Gruppenphase,A,FC Barcelona,,Dynamo Kyiv,,2:1,RA,86,1:2,Direkter Freistoß,0,0
Lionel Messi,988498,2009,FIFA Klub-WM,Halbfinale,A,FC Barcelona,,CF Atlante,,3:1,RA,55,1:2,Linksschuss,0,0
Lionel Messi,988666,2009,FIFA Klub-WM,Finale,A,FC Barcelona,,Club Estudiantes de La Plata,,2:1 n.V.,RA,110,1:2,Brust,0,0
Lionel Messi,957344,2009,LaLiga,17,A,FC Barcelona,1,CD Teneriffa,17,5:0,RA,36,0:1,Linksschuss,0,0
Lionel Messi,957344,2009,LaLiga,17,A,FC Barcelona,1,CD Teneriffa,17,5:0,RA,45,0:3,Rechtsschuss,0,0
Lionel Messi,957344,2009,LaLiga,17,A,FC Barcelona,1,CD Teneriffa,17,5:0,RA,75,0:4,Linksschuss,0,0
Lionel Messi,957354,2009,LaLiga,18,H,FC Barcelona,1,FC Sevilla,5,4:0,RA,85,3:0,Linksschuss,0,0
Lionel Messi,957354,2009,LaLiga,18,H,FC Barcelona,1,FC Sevilla,5,4:0,RA,90,4:0,Linksschuss,0,1
Lionel Messi,957363,2009,LaLiga,19,A,FC Barcelona,1,Real Valladolid,17,3:0,RA,54,0:3,Linksschuss,0,0
Lionel Messi,957389,2009,LaLiga,21,H,FC Barcelona,1,FC Getafe,7,2:1,RA,7,1:0,Linksschuss,0,0
Lionel Messi,957420,2009,LaLiga,24,H,FC Barcelona,1,FC Málaga,12,2:1,OM,84,2:1,Rechtsschuss,0,0
Lionel Messi,957437,2009,LaLiga,25,A,FC Barcelona,1,UD Almería,13,2:2,RA,42,1:1,Direkter Freistoß,0,0
Lionel Messi,957437,2009,LaLiga,25,A,FC Barcelona,1,UD Almería,13,2:2,RA,66,2:2,Linksschuss,0,0
Lionel Messi,957446,2009,LaLiga,26,H,FC Barcelona,1,FC Valencia,3,3:0,MS,56,1:0,Linksschuss,0,0
Lionel Messi,957446,2009,LaLiga,26,H,FC Barcelona,1,FC Valencia,3,3:0,MS,80,2:0,Linksschuss,0,0
Lionel Messi,957446,2009,LaLiga,26,H,FC Barcelona,1,FC Valencia,3,3:0,MS,82,3:0,Rechtsschuss,0,0
Lionel Messi,988805,2009,UEFA Champions League,Achtelfinale,H,FC Barcelona,,VfB Stuttgart,,4:0,MS,13,1:0,Linksschuss,0,0
Lionel Messi,988805,2009,UEFA Champions League,Achtelfinale,H,FC Barcelona,,VfB Stuttgart,,4:0,MS,56,3:0,Linksschuss,0,0
Lionel Messi,957454,2009,LaLiga,27,A,FC Barcelona,1,Real Saragossa ,17,4:2,RA,4,0:1,Kopfball,0,0
Lionel Messi,957454,2009,LaLiga,27,A,FC Barcelona,1,Real Saragossa ,17,4:2,RA,65,0:2,Linksschuss,0,0
Lionel Messi,957454,2009,LaLiga,27,A,FC Barcelona,1,Real Saragossa ,17,4:2,RA,78,0:3,Linksschuss,0,0
Lionel Messi,957597,2009,LaLiga,30,H,FC Barcelona,1,Athletic Bilbao,6,4:1,MS,67,4:0,Linksschuss,0,0
Lionel Messi,1003669,2009,UEFA Champions League,Viertelfinale,H,FC Barcelona,,FC Arsenal,,4:1,MS,21,1:1,Linksschuss,0,0
Lionel Messi,1003669,2009,UEFA Champions League,Viertelfinale,H,FC Barcelona,,FC Arsenal,,4:1,MS,37,2:1,Rechtsschuss,0,0
Lionel Messi,1003669,2009,UEFA Champions League,Viertelfinale,H,FC Barcelona,,FC Arsenal,,4:1,MS,42,3:1,Linksschuss,0,0
Lionel Messi,1003669,2009,UEFA Champions League,Viertelfinale,H,FC Barcelona,,FC Arsenal,,4:1,MS,88,4:1,Sololauf,0,0
Lionel Messi,957612,2009,LaLiga,31,A,FC Barcelona,1,Real Madrid,2,2:0,MS,32,0:1,Rechtsschuss,0,0
Lionel Messi,957663,2009,LaLiga,35,A,FC Barcelona,1,FC Villarreal,6,4:1,MS,18,0:1,Linksschuss,0,0
Lionel Messi,957663,2009,LaLiga,35,A,FC Barcelona,1,FC Villarreal,6,4:1,MS,87,1:4,Linksschuss,0,0
Lionel Messi,957672,2009,LaLiga,36,H,FC Barcelona,1,CD Teneriffa,18,4:1,RA,16,1:0,Rechtsschuss,0,0
Lionel Messi,957672,2009,LaLiga,36,H,FC Barcelona,1,CD Teneriffa,18,4:1,RA,90,4:1,Rechtsschuss,0,3
Lionel Messi,957682,2009,LaLiga,37,A,FC Barcelona,1,FC Sevilla,4,3:2,MS,5,0:1,Linksschuss,0,0
Lionel Messi,957691,2009,LaLiga,38,H,FC Barcelona,1,Real Valladolid,16,4:0,MS,61,3:0,Rechtsschuss,0,0
Lionel Messi,957691,2009,LaLiga,38,H,FC Barcelona,1,Real Valladolid,16,4:0,MS,74,4:0,Linksschuss,0,0
Lionel Messi,1030720,2010,Supercopa,Finale,H,FC Barcelona,,FC Sevilla,,4:0,RA,25,2:0,Linksschuss,0,0
Lionel Messi,1030720,2010,Supercopa,Finale,H,FC Barcelona,,FC Sevilla,,4:0,RA,43,3:0,Rechtsschuss,0,0
Lionel Messi,1030720,2010,Supercopa,Finale,H,FC Barcelona,,FC Sevilla,,4:0,RA,90,4:0,Linksschuss,0,1
Lionel Messi,1036048,2010,LaLiga,1,A,FC Barcelona,1,Racing Santander,12,3:0,RA,3,0:1,Linksschuss,0,0
Lionel Messi,1050074,2010,UEFA Champions League,Gruppenphase,H,FC Barcelona,,Panathinaikos Athen,,5:1,MS,22,1:1,Linksschuss,0,0
Lionel Messi,1050074,2010,UEFA Champions League,Gruppenphase,H,FC Barcelona,,Panathinaikos Athen,,5:1,MS,45,3:1,Linksschuss,0,0
Lionel Messi,1036083,2010,LaLiga,3,A,FC Barcelona,11,Atlético Madrid,1,2:1,MS,12,0:1,Linksschuss,0,0
Lionel Messi,1036112,2010,LaLiga,6,H,FC Barcelona,3,RCD Mallorca,11,1:1,MS,20,1:0,Linksschuss,0,0
Lionel Messi,1050114,2010,UEFA Champions League,Gruppenphase,H,FC Barcelona,,FC Kopenhagen,,2:0,MS,18,1:0,Linksschuss,0,0
Lionel Messi,1050114,2010,UEFA Champions League,Gruppenphase,H,FC Barcelona,,FC Kopenhagen,,2:0,MS,90,2:0,Linksschuss,0,1
Lionel Messi,1036143,2010,LaLiga,8,A,FC Barcelona,2,Real Saragossa ,20,2:0,MS,41,0:1,Linksschuss,0,0
Lionel Messi,1036143,2010,LaLiga,8,A,FC Barcelona,2,Real Saragossa ,20,2:0,MS,65,0:2,Linksschuss,0,0
Lionel Messi,1036153,2010,LaLiga,9,H,FC Barcelona,3,FC Sevilla,6,5:0,RA,4,1:0,Linksschuss,0,0
Lionel Messi,1036153,2010,LaLiga,9,H,FC Barcelona,3,FC Sevilla,6,5:0,RA,63,4:0,Linksschuss,0,0
Lionel Messi,1050123,2010,UEFA Champions League,Gruppenphase,A,FC Barcelona,,FC Kopenhagen,,1:1,RA,31,0:1,Rechtsschuss,0,0
Lionel Messi,1036164,2010,LaLiga,10,A,FC Barcelona,2,FC Getafe,10,3:1,MS,23,0:1,Linksschuss,0,0
Lionel Messi,1055164,2010,Copa del Rey,4.Runde,H,FC Barcelona,,Club Atlético de Ceuta,,5:1,RA,67,5:1,Linksschuss,0,0
Lionel Messi,1036173,2010,LaLiga,11,H,FC Barcelona,2,FC Villarreal,3,3:1,MS,58,2:1,Rechtsschuss,0,0
Lionel Messi,1036173,2010,LaLiga,11,H,FC Barcelona,2,FC Villarreal,3,3:1,MS,83,3:1,Linksschuss,0,0
Lionel Messi,1036185,2010,LaLiga,12,A,FC Barcelona,2,UD Almería,18,8:0,MS,16,0:1,Linksschuss,0,0
Lionel Messi,1036185,2010,LaLiga,12,A,FC Barcelona,2,UD Almería,18,8:0,MS,36,0:5,Abstauber,0,0
Lionel Messi,1036185,2010,LaLiga,12,A,FC Barcelona,2,UD Almería,18,8:0,MS,67,0:7,Abstauber,0,0
Lionel Messi,1050147,2010,UEFA Champions League,Gruppenphase,A,FC Barcelona,,Panathinaikos Athen,,3:0,MS,63,0:2,Linksschuss,0,0
Lionel Messi,1036206,2010,LaLiga,14,A,FC Barcelona,1,CA Osasuna,12,3:0,MS,64,0:2,Linksschuss,0,0
Lionel Messi,1036206,2010,LaLiga,14,A,FC Barcelona,1,CA Osasuna,12,3:0,MS,82,0:3,Elfmeter,0,0
Lionel Messi,1036214,2010,LaLiga,15,H,FC Barcelona,1,Real Sociedad San Sebastián,6,5:0,MS,46,3:0,Linksschuss,0,0
Lionel Messi,1036214,2010,LaLiga,15,H,FC Barcelona,1,Real Sociedad San Sebastián,6,5:0,MS,86,4:0,Linksschuss,0,0
Lionel Messi,1036248,2010,LaLiga,18,A,FC Barcelona,1,Deportivo La Coruna ,12,4:0,MS,51,0:2,Direkter Freistoß,0,0
Lionel Messi,1072026,2010,Copa del Rey,Viertelfinale,H,FC Barcelona,,Real Betis Sevilla,,5:0,MS,44,1:0,Linksschuss,0,0
Lionel Messi,1072026,2010,Copa del Rey,Viertelfinale,H,FC Barcelona,,Real Betis Sevilla,,5:0,MS,63,2:0,Linksschuss,0,0
Lionel Messi,1072026,2010,Copa del Rey,Viertelfinale,H,FC Barcelona,,Real Betis Sevilla,,5:0,MS,73,3:0,Linksschuss,0,0
Lionel Messi,1072030,2010,Copa del Rey,Viertelfinale,A,FC Barcelona,,Real Betis Sevilla,,3:1,RA,37,2:1,Linksschuss,0,0
Lionel Messi,1036269,2010,LaLiga,20,H,FC Barcelona,1,Racing Santander,14,3:0,MS,33,2:0,Elfmeter,0,0
Lionel Messi,1074400,2010,Copa del Rey,Halbfinale,H,FC Barcelona,,UD Almería,,5:0,MS,9,1:0,Linksschuss,0,0
Lionel Messi,1074400,2010,Copa del Rey,Halbfinale,H,FC Barcelona,,UD Almería,,5:0,MS,15,3:0,Linksschuss,0,0
Lionel Messi,1036279,2010,LaLiga,21,A,FC Barcelona,1,Hércules Alicante,12,3:0,MS,87,0:2,Linksschuss,0,0
Lionel Messi,1036279,2010,LaLiga,21,A,FC Barcelona,1,Hércules Alicante,12,3:0,MS,89,0:3,Linksschuss,0,0
Lionel Messi,1036283,2010,LaLiga,22,H,FC Barcelona,1,Atlético Madrid,8,3:0,MS,16,1:0,Linksschuss,0,0
Lionel Messi,1036283,2010,LaLiga,22,H,FC Barcelona,1,Atlético Madrid,8,3:0,MS,28,2:0,Linksschuss,0,0
